transaction_id,date,region,channel,customer_id,customer_segment,product_id,product_name,product_category,quantity,unit_price,unit_cost,revenue,gross_profit,month,year,quarter
T000092,2024-10-22,北海道,EC,C0049,中小企業,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2024-10,2024,Q4
T000093,2025-12-25,中国,店舗,C0169,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2025-12,2025,Q4
T000094,2025-12-20,東北,EC,C0109,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-12,2025,Q4
T000095,2026-01-18,東北,EC,C0222,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2026-01,2026,Q1
T000096,2024-12-03,関東,店舗,C0016,個人,P005,ヘルメット,安全用品,5,6800,4200,34000,13000,2024-12,2024,Q4
T000097,2024-02-22,東北,店舗,C0087,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-02,2024,Q1
T000098,2024-08-04,関東,店舗,C0064,中小企業,P005,ヘルメット,安全用品,1,6800,4200,6800,2600,2024-08,2024,Q3
T000099,2026-02-02,近畿,法人,C0138,個人,P007,レーザー距離計,計測機器,2,44200,36000,88400,16400,2026-02,2026,Q1
T000100,2024-07-06,東北,店舗,C0109,個人,P001,高耐久ノートPC,IT機器,4,135000,98000,540000,148000,2024-07,2024,Q3
T000101,2025-01-14,関東,店舗,C0119,中小企業,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2025-01,2025,Q1
T000102,2025-05-07,東北,店舗,C0237,個人,P002,現場用タブレット,IT機器,3,98000,72000,294000,78000,2025-05,2025,Q2
T000103,2024-02-10,東北,法人,C0207,中小企業,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-02,2024,Q1
T000104,2024-06-05,北海道,EC,C0013,個人,P005,ヘルメット,安全用品,3,6800,4200,20400,7800,2024-06,2024,Q2
T000105,2024-01-15,中部,EC,C0024,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-01,2024,Q1
T000106,2024-03-05,関東,EC,C0043,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-03,2024,Q1
T000107,2025-06-04,中部,EC,C0124,個人,P007,レーザー距離計,計測機器,3,52000,36000,156000,48000,2025-06,2025,Q2
T000108,2024-12-09,関東,店舗,C0103,中小企業,P010,ワークグローブ,安全用品,2,1200,650,2400,1100,2024-12,2024,Q4
T000109,2024-05-08,関東,店舗,C0098,中小企業,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-05,2024,Q2
T000110,2025-10-09,近畿,EC,C0100,個人,P003,測量用GNSS受信機,計測機器,1,650000,510000,650000,140000,2025-10,2025,Q4
T000111,2025-04-16,近畿,店舗,C0201,中小企業,P009,耐水メモ帳,文具,3,980,520,2940,1380,2025-04,2025,Q2
T000112,2024-03-03,九州,店舗,C0109,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2024-03,2024,Q1
T000113,2024-05-18,中国,店舗,C0040,中小企業,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-05,2024,Q2
T000114,2025-05-13,北海道,店舗,C0056,大企業,P006,安全ベスト,安全用品,1,3040,1900,3040,1140,2025-05,2025,Q2
T000115,2025-08-15,四国,EC,C0192,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-08,2025,Q3
T000116,2025-01-26,中部,EC,C0013,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-01,2025,Q1
T000117,2025-11-05,関東,EC,C0129,個人,P006,安全ベスト,安全用品,4,3200,1900,12800,5200,2025-11,2025,Q4
T000118,2025-02-22,東北,EC,C0015,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-02,2025,Q1
T000119,2024-10-15,東北,店舗,C0218,個人,P001,高耐久ノートPC,IT機器,3,135000,98000,405000,111000,2024-10,2024,Q4
T000120,2025-01-13,北海道,店舗,C0153,個人,P005,ヘルメット,安全用品,1,6800,4200,6800,2600,2025-01,2025,Q1
T000121,2026-02-11,関東,EC,C0221,個人,P004,ドローンバッテリー,ドローン,2,28000,18000,56000,20000,2026-02,2026,Q1
T000122,2025-05-04,中部,店舗,C0031,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2025-05,2025,Q2
T000123,2024-08-18,関東,店舗,C0149,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-08,2024,Q3
T000124,2024-02-10,関東,店舗,C0159,個人,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2024-02,2024,Q1
T000125,2024-01-28,中国,店舗,C0169,個人,P008,ポータブル電源,現場用品,2,62000,44000,124000,36000,2024-01,2024,Q1
T000126,2024-05-14,近畿,店舗,C0134,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2024-05,2024,Q2
T000127,2024-07-19,中部,EC,C0067,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-07,2024,Q3
T000128,2026-02-18,関東,店舗,C0184,中小企業,P009,耐水メモ帳,文具,5,980,520,4900,2300,2026-02,2026,Q1
T000129,2024-02-02,北海道,店舗,C0068,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2024-02,2024,Q1
T000130,2024-02-17,中国,EC,C0172,個人,P007,レーザー距離計,計測機器,6,52000,36000,312000,96000,2024-02,2024,Q1
T000131,2025-05-17,近畿,法人,C0118,中小企業,P001,高耐久ノートPC,IT機器,1,128250,98000,128250,30250,2025-05,2025,Q2
T000132,2025-02-10,北海道,EC,C0193,個人,P010,ワークグローブ,安全用品,3,1200,650,3600,1650,2025-02,2025,Q1
T000133,2025-07-27,近畿,EC,C0118,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-07,2025,Q3
T000134,2025-12-28,東北,EC,C0145,中小企業,P009,耐水メモ帳,文具,2,980,520,1960,920,2025-12,2025,Q4
T000135,2024-04-08,近畿,店舗,C0138,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-04,2024,Q2
T000136,2025-11-14,北海道,EC,C0068,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2025-11,2025,Q4
T000137,2025-12-26,中部,EC,C0090,個人,P005,ヘルメット,安全用品,3,6800,4200,20400,7800,2025-12,2025,Q4
T000138,2025-06-30,関東,店舗,C0095,中小企業,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2025-06,2025,Q2
T000139,2026-01-08,近畿,法人,C0113,中小企業,P004,ドローンバッテリー,ドローン,4,23800,18000,95200,23200,2026-01,2026,Q1
T000140,2025-09-04,北海道,EC,C0157,個人,P009,耐水メモ帳,文具,1,951,520,951,431,2025-09,2025,Q3
T000141,2025-04-06,近畿,法人,C0171,個人,P001,高耐久ノートPC,IT機器,2,128250,98000,256500,60500,2025-04,2025,Q2
T000142,2025-10-04,関東,店舗,C0239,大企業,P001,高耐久ノートPC,IT機器,1,128250,98000,128250,30250,2025-10,2025,Q4
T000143,2026-02-07,北海道,法人,C0068,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2026-02,2026,Q1
T000144,2024-01-05,関東,店舗,C0028,個人,P004,ドローンバッテリー,ドローン,4,28000,18000,112000,40000,2024-01,2024,Q1
T000145,2024-08-05,四国,店舗,C0070,個人,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2024-08,2024,Q3
T000146,2025-05-17,中部,店舗,C0054,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2025-05,2025,Q2
T000147,2026-02-05,中部,EC,C0176,中小企業,P009,耐水メモ帳,文具,2,980,520,1960,920,2026-02,2026,Q1
T000148,2025-02-01,北海道,店舗,C0068,個人,P005,ヘルメット,安全用品,5,6800,4200,34000,13000,2025-02,2025,Q1
T000149,2025-01-27,北海道,EC,C0065,中小企業,P002,現場用タブレット,IT機器,2,98000,72000,196000,52000,2025-01,2025,Q1
T000150,2024-07-25,関東,法人,C0024,個人,P007,レーザー距離計,計測機器,1,49400,36000,49400,13400,2024-07,2024,Q3
T000151,2024-01-15,四国,EC,C0213,個人,P004,ドローンバッテリー,ドローン,2,28000,18000,56000,20000,2024-01,2024,Q1
T000152,2025-07-07,近畿,店舗,C0001,中小企業,P008,ポータブル電源,現場用品,1,62000,44000,62000,18000,2025-07,2025,Q3
T000153,2025-04-05,近畿,店舗,C0034,中小企業,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-04,2025,Q2
T000154,2025-11-21,北海道,EC,C0068,個人,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2025-11,2025,Q4
T000155,2025-07-28,関東,EC,C0114,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-07,2025,Q3
T000156,2026-01-12,北海道,店舗,C0110,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2026-01,2026,Q1
T000157,2024-08-28,中部,法人,C0029,中小企業,P003,測量用GNSS受信機,計測機器,1,617500,510000,617500,107500,2024-08,2024,Q3
T000158,2025-07-17,関東,法人,C0227,個人,P001,高耐久ノートPC,IT機器,2,114750,98000,229500,33500,2025-07,2025,Q3
T000159,2024-04-05,近畿,EC,C0140,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-04,2024,Q2
T000160,2026-01-03,関東,EC,C0095,中小企業,P005,ヘルメット,安全用品,2,6800,4200,13600,5200,2026-01,2026,Q1
T000161,2025-04-29,東北,EC,C0038,個人,P001,高耐久ノートPC,IT機器,3,135000,98000,405000,111000,2025-04,2025,Q2
T000162,2025-02-10,中部,店舗,C0011,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-02,2025,Q1
T000163,2024-08-18,北海道,EC,C0231,個人,P002,現場用タブレット,IT機器,2,98000,72000,196000,52000,2024-08,2024,Q3
T000164,2026-01-18,中国,EC,C0231,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2026-01,2026,Q1
T000165,2025-10-16,中部,店舗,C0175,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-10,2025,Q4
T000166,2024-06-19,東北,店舗,C0027,個人,P005,ヘルメット,安全用品,4,6800,4200,27200,10400,2024-06,2024,Q2
T000167,2025-06-24,四国,店舗,C0144,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-06,2025,Q2
T000168,2024-02-05,中部,店舗,C0159,個人,P009,耐水メモ帳,文具,5,980,520,4900,2300,2024-02,2024,Q1
T000169,2025-06-08,中部,EC,C0222,個人,P010,ワークグローブ,安全用品,3,1200,650,3600,1650,2025-06,2025,Q2
T000170,2024-06-08,四国,店舗,C0205,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-06,2024,Q2
T000171,2025-11-29,中国,法人,C0007,個人,P006,安全ベスト,安全用品,2,2880,1900,5760,1960,2025-11,2025,Q4
T000172,2024-08-30,東北,EC,C0237,個人,P010,ワークグローブ,安全用品,3,1200,650,3600,1650,2024-08,2024,Q3
T000173,2024-03-26,中部,店舗,C0239,大企業,P010,ワークグローブ,安全用品,1,1140,650,1140,490,2024-03,2024,Q1
T000174,2025-07-31,中部,店舗,C0172,個人,P005,ヘルメット,安全用品,4,6800,4200,27200,10400,2025-07,2025,Q3
T000175,2025-11-12,近畿,店舗,C0069,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-11,2025,Q4
T000176,2025-07-10,北海道,店舗,C0180,個人,P001,高耐久ノートPC,IT機器,1,135000,98000,135000,37000,2025-07,2025,Q3
T000177,2025-07-27,関東,EC,C0224,個人,P010,ワークグローブ,安全用品,5,1200,650,6000,2750,2025-07,2025,Q3
T000178,2025-10-07,近畿,法人,C0121,大企業,P007,レーザー距離計,計測機器,2,44200,36000,88400,16400,2025-10,2025,Q4
T000179,2024-01-28,中国,法人,C0210,個人,P003,測量用GNSS受信機,計測機器,1,585000,510000,585000,75000,2024-01,2024,Q1
T000180,2025-09-11,中部,店舗,C0079,個人,P001,高耐久ノートPC,IT機器,1,130950,98000,130950,32950,2025-09,2025,Q3
T000181,2025-07-09,東北,店舗,C0058,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-07,2025,Q3
T000182,2024-12-05,関東,店舗,C0050,中小企業,P002,現場用タブレット,IT機器,5,98000,72000,490000,130000,2024-12,2024,Q4
T000183,2024-11-26,近畿,EC,C0072,個人,P004,ドローンバッテリー,ドローン,2,28000,18000,56000,20000,2024-11,2024,Q4
T000184,2025-10-01,東北,法人,C0090,個人,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2025-10,2025,Q4
T000185,2025-05-20,中国,店舗,C0103,中小企業,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2025-05,2025,Q2
T000186,2024-12-13,関東,法人,C0008,中小企業,P008,ポータブル電源,現場用品,1,58900,44000,58900,14900,2024-12,2024,Q4
T000187,2025-04-17,中部,店舗,C0067,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2025-04,2025,Q2
T000188,2024-08-18,北海道,EC,C0068,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-08,2024,Q3
T000189,2024-07-08,北海道,EC,C0153,個人,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2024-07,2024,Q3
T000190,2024-08-12,四国,店舗,C0187,中小企業,P006,安全ベスト,安全用品,1,3200,1900,3200,1300,2024-08,2024,Q3
T000191,2025-01-19,東北,EC,C0156,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2025-01,2025,Q1
T000192,2025-01-11,中部,法人,C0099,個人,P002,現場用タブレット,IT機器,1,93100,72000,93100,21100,2025-01,2025,Q1
T000193,2024-10-09,東北,EC,C0066,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-10,2024,Q4
T000194,2025-09-24,近畿,EC,C0112,中小企業,P002,現場用タブレット,IT機器,1,93100,72000,93100,21100,2025-09,2025,Q3
T000195,2025-09-19,中部,店舗,C0237,個人,P010,ワークグローブ,安全用品,2,1200,650,2400,1100,2025-09,2025,Q3
T000196,2026-01-14,関東,EC,C0094,中小企業,P007,レーザー距離計,計測機器,1,52000,36000,52000,16000,2026-01,2026,Q1
T000197,2024-09-15,中国,EC,C0171,個人,P004,ドローンバッテリー,ドローン,1,28000,18000,28000,10000,2024-09,2024,Q3
T000198,2024-12-24,近畿,EC,C0170,個人,P009,耐水メモ帳,文具,2,980,520,1960,920,2024-12,2024,Q4
T000199,2025-12-10,九州,EC,C0130,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2025-12,2025,Q4
T000200,2025-03-31,九州,店舗,C0105,個人,P002,現場用タブレット,IT機器,2,95060,72000,190120,46120,2025-03,2025,Q1
T000201,2025-02-14,九州,EC,C0179,中小企業,P002,現場用タブレット,IT機器,1,98000,72000,98000,26000,2025-02,2025,Q1
T000202,2025-10-10,九州,店舗,C0033,中小企業,P007,レーザー距離計,計測機器,4,52000,36000,208000,64000,2025-10,2025,Q4
T000203,2024-11-13,関東,店舗,C0171,個人,P001,高耐久ノートPC,IT機器,2,135000,98000,270000,74000,2024-11,2024,Q4
T000204,2025-11-07,四国,店舗,C0158,個人,P006,安全ベスト,安全用品,2,3200,1900,6400,2600,2025-11,2025,Q4
